Species_ATPase,Dose,Activity
Pig ATPase,0.001,-2.44648318
Pig ATPase,0.001,-5.743243243
Pig ATPase,0.001,-2.702702703
Pig ATPase,0.001,-5.102040816
Pig ATPase,0.001,-6.462585034
Pig ATPase,0.001,-7.586206897
Pig ATPase,0.001,-4
Pig ATPase,0.0001,-3.058103976
Pig ATPase,0.0001,-6.081081081
Pig ATPase,0.0001,-2.972972973
Pig ATPase,0.0001,-8.163265306
Pig ATPase,0.0001,-6.12244898
Pig ATPase,0.0001,-4.827586207
Pig ATPase,0.0001,-4.857142857
Pig ATPase,0.00001,3.975535168
Pig ATPase,0.00001,0
Pig ATPase,0.00001,2.162162162
Pig ATPase,0.00001,-2.721088435
Pig ATPase,0.00001,0
Pig ATPase,0.00001,-0.689655172
Pig ATPase,0.00001,2
Pig ATPase,0.000001,38.83792049
Pig ATPase,0.000001,30.74324324
Pig ATPase,0.000001,32.97297297
Pig ATPase,0.000001,31.29251701
Pig ATPase,0.000001,32.99319728
Pig ATPase,0.000001,33.44827586
Pig ATPase,0.000001,35.71428571
Pig ATPase,0.0000001,83.79204893
Pig ATPase,0.0000001,77.36486486
Pig ATPase,0.0000001,75.13513514
Pig ATPase,0.0000001,81.63265306
Pig ATPase,0.0000001,83.33333333
Pig ATPase,0.0000001,76.20689655
Pig ATPase,0.0000001,79.14285714
Pig ATPase,0.00000001,97.85932722
Pig ATPase,0.00000001,91.89189189
Pig ATPase,0.00000001,94.05405405
Pig ATPase,0.00000001,95.23809524
Pig ATPase,0.00000001,96.93877551
Pig ATPase,0.00000001,92.4137931
Pig ATPase,0.00000001,92.57142857
Monarch butterfly ATPase,0.001,11.67883212
Monarch butterfly ATPase,0.001,13.61386139
Monarch butterfly ATPase,0.001,11.81318681
Monarch butterfly ATPase,0.001,14.40677966
Monarch butterfly ATPase,0.001,15.03957784
Monarch butterfly ATPase,0.001,9.340659341
Monarch butterfly ATPase,0.001,12.79461279
Monarch butterfly ATPase,0.0001,49.14841849
Monarch butterfly ATPase,0.0001,50.4950495
Monarch butterfly ATPase,0.0001,49.17582418
Monarch butterfly ATPase,0.0001,47.74011299
Monarch butterfly ATPase,0.0001,48.54881266
Monarch butterfly ATPase,0.0001,46.15384615
Monarch butterfly ATPase,0.0001,46.46464646
Monarch butterfly ATPase,0.00001,82.96836983
Monarch butterfly ATPase,0.00001,83.66336634
Monarch butterfly ATPase,0.00001,80.49450549
Monarch butterfly ATPase,0.00001,82.20338983
Monarch butterfly ATPase,0.00001,80.47493404
Monarch butterfly ATPase,0.00001,79.67032967
Monarch butterfly ATPase,0.00001,81.48148148
Monarch butterfly ATPase,0.000001,92.70072993
Monarch butterfly ATPase,0.000001,91.83168317
Monarch butterfly ATPase,0.000001,88.18681319
Monarch butterfly ATPase,0.000001,91.8079096
Monarch butterfly ATPase,0.000001,90.50131926
Monarch butterfly ATPase,0.000001,90.65934066
Monarch butterfly ATPase,0.000001,87.20538721
Monarch butterfly ATPase,0.0000001,93.18734793
Monarch butterfly ATPase,0.0000001,93.31683168
Monarch butterfly ATPase,0.0000001,93.95604396
Monarch butterfly ATPase,0.0000001,91.52542373
Monarch butterfly ATPase,0.0000001,91.82058047
Monarch butterfly ATPase,0.0000001,91.48351648
Monarch butterfly ATPase,0.0000001,91.91919192
Monarch butterfly ATPase,0.00000001,93.43065693
Monarch butterfly ATPase,0.00000001,96.03960396
Monarch butterfly ATPase,0.00000001,95.05494505
Monarch butterfly ATPase,0.00000001,96.32768362
Monarch butterfly ATPase,0.00000001,94.72295515
Monarch butterfly ATPase,0.00000001,92.58241758
Monarch butterfly ATPase,0.00000001,91.24579125
Drosophila QAN* ATPase,0.001,3.780068729
Drosophila QAN* ATPase,0.001,3.910614525
Drosophila QAN* ATPase,0.001,1.928374656
